thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
118,0,118,[np.float64(0.29976851851851855)],[np.float64(-0.020833333333333332)],[1],[0],[0],[1.8931420999579132],['Target'],118,0,118,0,283.31343420012854,,10,283.3042663000524,283.31343420012854,283.31343420012854,0.02654160000383854,285.19753050012514,[np.float64(0.29976851851851855)],[np.float64(-0.020833333333333332)],[1],[0],[0],[1.8931420999579132],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
119,0,119,[np.float64(0.4212962962962963)],[np.float64(0.16203703703703703)],[1],[0],[0],[1.2795161998365074],['Target'],119,0,119,0,285.22441160003655,,5,285.2161879001651,285.22441160003655,285.22441160003655,0.01842860016040504,286.4958240000997,[np.float64(0.4212962962962963)],[np.float64(0.16203703703703703)],[1],[0],[0],[1.2795161998365074],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
120,0,120,[np.float64(-0.03935185185185185)],[np.float64(0.2222222222222222)],[1],[0],[0],[1.6873983999248594],['Target'],120,0,120,0,286.5248178001493,,5,286.51469120010734,286.5248178001493,286.5248178001493,0.018672600155696273,288.20220739999786,[np.float64(-0.03935185185185185)],[np.float64(0.2222222222222222)],[1],[0],[0],[1.6873983999248594],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
121,0,121,[np.float64(-0.024305555555555556)],[np.float64(0.41203703703703703)],[1],[0],[0],[1.4117799000814557],['Target'],121,0,121,0,288.23539170017466,,10,288.22695700009353,288.23539170017466,288.23539170017466,0.024532899959012866,289.63882650015876,[np.float64(-0.024305555555555556)],[np.float64(0.41203703703703703)],[1],[0],[0],[1.4117799000814557],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
122,0,122,[np.float64(0.06365740740740741)],[np.float64(0.5)],[1],[0],[0],[1.7649795999750495],['Target'],122,0,122,0,289.6655447999947,,5,289.65579140000045,289.6655447999947,289.6655447999947,0.016816899878904223,291.4208696000278,[np.float64(0.06365740740740741)],[np.float64(0.5)],[1],[0],[0],[1.7649795999750495],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
123,0,123,[np.float64(0.3472222222222222)],[np.float64(-0.3726851851851852)],[1],[0],[0],[1.924689400009811],['Target'],123,0,123,0,291.43988870014437,,5,291.4336145000998,291.43988870014437,291.43988870014437,0.012554100016131997,293.358400600031,[np.float64(0.3472222222222222)],[np.float64(-0.3726851851851852)],[1],[0],[0],[1.924689400009811],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
124,0,124,[np.float64(0.23842592592592593)],[np.float64(-0.4444444444444444)],[1],[0],[0],[1.5535122000146657],['Target'],124,0,124,0,293.3754271999933,,5,293.37021630001254,293.3754271999933,293.3754271999933,0.011652600020170212,294.92384720011614,[np.float64(0.23842592592592593)],[np.float64(-0.4444444444444444)],[1],[0],[0],[1.5535122000146657],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
125,0,125,[np.float64(0.24768518518518517)],[np.float64(-0.02199074074074074)],[1],[0],[0],[1.6365710000973195],['Target'],125,0,125,0,294.96785650006495,,10,294.9594113000203,294.96785650006495,294.96785650006495,0.03535829996690154,296.5960770000238,[np.float64(0.24768518518518517)],[np.float64(-0.02199074074074074)],[1],[0],[0],[1.6365710000973195],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
126,0,126,[np.float64(-0.16319444444444445)],[np.float64(0.2511574074074074)],[1],[0],[0],[2.40219709998928],['Target'],126,0,126,0,296.623053900199,,5,296.6145113001112,296.623053900199,296.623053900199,0.01826080004684627,299.0168010999914,[np.float64(-0.16319444444444445)],[np.float64(0.2511574074074074)],[1],[0],[0],[2.40219709998928],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
127,0,127,[np.float64(0.21412037037037038)],[np.float64(0.26967592592592593)],[1],[0],[0],[2.4138512001372874],['Target'],127,0,127,0,299.0553274000995,,10,299.04763859999366,299.0553274000995,299.0553274000995,0.03064849996007979,301.4616076000966,[np.float64(0.21412037037037038)],[np.float64(0.26967592592592593)],[1],[0],[0],[2.4138512001372874],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
128,0,128,[np.float64(-0.4375)],[np.float64(-0.1099537037037037)],[1],[0],[0],[1.8858070999849588],[None],128,0,128,0,301.4890189000871,,5,301.4808297001291,301.4890189000871,301.4890189000871,0.019001000095158815,303.3667312001344,[np.float64(-0.4375)],[np.float64(-0.1099537037037037)],[1],[0],[0],[1.8858070999849588],[None],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
129,0,129,[np.float64(0.32407407407407407)],[np.float64(-0.18055555555555555)],[1],[0],[0],[3.07946479995735],['Target'],129,0,129,0,303.39906010008417,,10,303.39041850017384,303.39906010008417,303.39906010008417,0.023501799907535315,306.46999150002375,[np.float64(0.32407407407407407)],[np.float64(-0.18055555555555555)],[1],[0],[0],[3.07946479995735],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
130,0,130,[np.float64(0.06597222222222222)],[np.float64(-0.3726851851851852)],[1],[0],[0],[3.138031499926001],['Target'],130,0,130,0,306.4984193001874,,10,306.49111260008067,306.4984193001874,306.4984193001874,0.02089489996433258,309.62924819998443,[np.float64(0.06597222222222222)],[np.float64(-0.3726851851851852)],[1],[0],[0],[3.138031499926001],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
